Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
183,Alabama-Birmingham,CUSA,,,13,9,65.3,63.4,1.86,,-1.25,,-6.02,4.57,-1.45,97.66,98.41,-0.75
184,Loyola Marymount,WCC,,,8,14,65.4,67.8,-2.41,,2.80,,-6.35,4.58,-1.77,100.14,102.06,-1.92
185,North Florida,A-Sun,,,13,10,77.3,74.5,2.83,,-0.90,,4.70,-6.51,-1.81,105.78,107.02,-1.24
186,George Washington,A-10,,,10,11,69.2,69.0,0.24,,-2.10,,-1.69,-0.17,-1.87,99.35,100.65,-1.30
187,Arkansas State,Sun Belt,,,15,8,70.5,70.0,0.48,,-1.16,,-0.41,-1.51,-1.92,104.14,105.71,-1.57
188,Radford,Big South,,,12,9,69.8,64.6,5.19,,-2.64,,-4.00,2.04,-1.96,101.05,102.49,-1.44
189,UC-Santa Barbara,Big West,,,13,8,71.5,67.1,4.33,,-4.75,,-2.68,0.61,-2.06,103.53,104.63,-1.10
190,Florida Atlantic,CUSA,,,13,9,71.3,68.2,3.05,,-2.19,,-2.05,-0.04,-2.08,97.73,99.26,-1.53
191,Boston University,Patriot,,,12,10,72.1,68.7,3.45,,-4.40,,-1.58,-0.54,-2.11,100.71,102.58,-1.87
192,Northern Illinois,MAC (West),,,12,9,67.1,64.3,2.81,,-2.86,,-7.80,5.49,-2.31,94.60,96.62,-2.02
193,Ohio,MAC (East),,,10,11,71.3,69.5,1.76,,-0.21,,0.01,-2.33,-2.31,101.79,103.92,-2.13
194,Delaware,CAA,,,15,7,73.9,69.8,4.09,,-4.42,,-0.14,-2.19,-2.33,101.07,102.95,-1.88
195,Sacramento State,Big Sky,,,11,7,60.8,56.6,4.22,,-1.77,,-11.74,9.41,-2.33,90.55,92.31,-1.76
196,Illinois State,MVC,,,7,14,66.1,69.6,-3.52,,2.15,,-2.38,-0.13,-2.50,98.33,100.51,-2.18
197,Northern Arizona,Big Sky,,,11,7,72.3,67.3,4.94,,-1.39,,-1.22,-1.48,-2.70,101.49,103.78,-2.29
198,Portland State,Big Sky,,,11,12,77.7,75.0,2.70,,-1.97,,5.09,-7.82,-2.73,104.59,107.31,-2.72
199,Texas-San Antonio,CUSA,,,10,12,78.4,76.9,1.55,,0.69,,7.88,-10.67,-2.79,104.02,106.12,-2.10
200,East Carolina,AAC,,,9,12,68.9,71.2,-2.38,,-0.82,,-0.50,-2.69,-3.20,97.28,100.70,-3.42
201,UC-Riverside,Big West,,,14,9,66.9,61.5,5.39,,-4.39,,-7.42,4.03,-3.39,96.48,99.78,-3.29
202,Princeton,Ivy,,,7,8,72.9,72.2,0.67,,-0.83,,0.21,-3.62,-3.41,102.72,106.29,-3.57
203,Abilene Christian,Southland,,,11,9,75.4,64.6,10.80,,-3.18,,-2.78,-0.66,-3.43,94.61,98.10,-3.50
204,Siena,MAAC,,,9,9,72.7,71.7,0.94,,-4.44,,0.82,-4.31,-3.50,100.83,104.11,-3.28
205,San Diego,WCC,,,8,15,65.6,70.9,-5.30,,3.05,,-4.68,1.01,-3.67,92.17,95.97,-3.80
206,Nicholls State,Southland,,,14,8,76.5,67.9,8.59,,-3.88,,-3.70,-0.01,-3.71,94.05,96.86,-2.81
207,Lafayette,Patriot,,,13,7,73.1,69.4,3.70,,-5.56,,-1.92,-1.86,-3.77,101.06,104.86,-3.80
208,Montana State,Big Sky,,,11,9,67.6,65.9,1.65,,-1.94,,-5.45,1.51,-3.94,94.51,98.49,-3.99
209,Brown,Ivy,,,7,8,68.5,71.1,-2.67,,0.67,,-1.93,-2.11,-4.04,95.65,100.34,-4.69
210,Seattle,WAC,,,11,11,74.5,71.4,3.05,,-4.02,,-1.01,-3.06,-4.07,97.28,101.92,-4.64
211,Rider,MAAC,,,11,8,72.9,71.8,1.11,,-5.20,,0.92,-5.01,-4.09,98.99,103.37,-4.38
212,Drexel,CAA,,,12,10,68.7,69.2,-0.55,,-1.97,,-2.65,-1.47,-4.11,97.25,102.03,-4.78
213,Omaha,Summit,,,12,10,73.2,76.2,-3.00,,-0.10,,0.82,-4.96,-4.14,100.81,105.01,-4.20
214,Bryant,NEC,,,10,11,71.6,68.6,2.95,,-4.83,,-0.83,-3.35,-4.18,96.07,100.32,-4.25
215,Prairie View,SWAC,,,10,10,72.1,70.6,1.50,,-2.93,,-2.12,-2.09,-4.21,94.26,98.41,-4.15
216,Dartmouth,Ivy,,,7,10,66.9,64.8,2.12,,-3.66,,-7.05,2.58,-4.47,92.91,97.82,-4.90
217,Miami (OH),MAC (East),,,9,11,74.6,72.9,1.75,,-0.75,,0.32,-4.79,-4.47,102.56,107.27,-4.71
218,Eastern Illinois,OVC,,,11,10,75.5,68.3,7.14,,-7.48,,-2.83,-1.64,-4.48,95.44,100.76,-5.31
219,Mercer,Southern,,,11,11,72.6,71.4,1.23,,-3.12,,-2.28,-2.44,-4.72,97.89,103.07,-5.17
220,Wyoming,MWC,,,5,17,59.3,67.3,-8.05,,4.25,,-10.23,5.39,-4.84,90.49,97.46,-6.97
221,Cal State Bakersfield,WAC,,,10,12,71.2,68.8,2.36,,-1.27,,-4.06,-0.79,-4.85,96.97,102.26,-5.30
222,Saint Francis (PA),NEC,,,13,8,77.9,73.9,4.00,,-6.60,,1.72,-6.57,-4.85,101.62,107.34,-5.72
223,Navy,Patriot,,,12,8,64.3,61.8,2.50,,-5.94,,-8.82,3.88,-4.94,95.74,101.19,-5.46
224,Grand Canyon,WAC,,,9,12,69.2,71.7,-2.48,,-2.84,,-0.98,-4.01,-4.99,100.78,106.38,-5.60
225,Fordham,A-10,,,7,13,58.3,60.7,-2.35,,-2.74,,-12.96,7.87,-5.09,87.47,93.79,-6.31
226,Monmouth,MAAC,,,12,8,69.9,70.6,-0.65,,-4.61,,-0.96,-4.30,-5.26,94.31,100.31,-6.00
227,Portland,WCC,,,9,14,68.0,70.2,-2.22,,0.55,,-4.16,-1.14,-5.30,94.96,100.99,-6.03
228,Robert Morris,NEC,,,11,11,69.3,67.8,1.50,,-4.96,,-5.44,0.15,-5.30,96.03,102.16,-6.13
229,Sacred Heart,NEC,,,13,9,74.3,69.7,4.59,,-8.10,,-1.16,-4.22,-5.38,96.91,103.16,-6.25
230,Canisius,MAAC,,,8,12,69.7,70.8,-1.10,,-4.33,,-2.13,-3.30,-5.43,94.49,101.04,-6.54
231,Louisiana,Sun Belt,,,9,13,70.5,74.0,-3.50,,-0.50,,-0.36,-5.14,-5.50,96.99,103.47,-6.49
232,Missouri-Kansas City,WAC,,,11,11,71.3,67.7,3.64,,-0.20,,-4.57,-1.11,-5.67,94.76,101.32,-6.55
233,Tennessee State,OVC,,,13,9,75.0,73.0,1.95,,-5.37,,0.18,-5.85,-5.67,98.49,104.91,-6.42
234,Saint Joseph's,A-10,,,4,17,70.2,81.5,-11.33,,5.63,,3.53,-9.24,-5.71,99.28,105.30,-6.02
235,Saint Peter's,MAAC,,,8,10,64.5,64.7,-0.22,,-5.52,,-9.62,3.89,-5.74,89.25,95.53,-6.28
236,Eastern Michigan,MAC (West),,,10,10,65.1,63.4,1.70,,1.00,,-10.57,4.82,-5.75,86.36,92.26,-5.89
237,Green Bay,Horizon,,,10,12,81.9,80.7,1.18,,-1.58,,7.69,-13.62,-5.93,104.20,110.48,-6.27
238,UC-Davis,Big West,,,8,14,71.6,70.8,0.82,,-1.55,,-1.30,-4.65,-5.95,99.42,106.43,-7.01
239,American,Patriot,,,10,10,71.9,72.2,-0.30,,-5.71,,-2.16,-3.85,-6.01,97.15,104.19,-7.04
240,Illinois-Chicago,Horizon,,,10,13,68.1,71.3,-3.22,,-2.53,,-3.56,-2.47,-6.03,94.88,101.58,-6.70
241,Western Michigan,MAC (West),,,9,11,71.4,73.1,-1.65,,-0.36,,-2.12,-3.91,-6.03,98.71,105.99,-7.29
242,Jacksonville,A-Sun,,,10,13,66.0,65.4,0.52,,-5.14,,-8.49,2.39,-6.10,89.79,97.28,-7.49
243,Rice,CUSA,,,9,13,72.9,75.7,-2.82,,-0.17,,0.24,-6.42,-6.17,98.88,105.34,-6.46
244,Quinnipiac,MAAC,,,10,8,70.4,69.9,0.56,,-6.75,,-2.25,-3.94,-6.19,98.90,106.36,-7.46
245,McNeese State,Southland,,,12,9,81.3,72.6,8.71,,-4.58,,1.13,-7.35,-6.22,101.96,108.53,-6.57
246,Southern Mississippi,CUSA,,,6,16,66.9,73.7,-6.77,,4.40,,-5.02,-1.43,-6.44,95.30,103.29,-7.99
247,Norfolk State,MEAC,,,10,11,70.2,64.6,5.57,,-5.79,,-8.14,1.58,-6.56,91.87,100.30,-8.44
248,North Dakota,Summit,,,10,13,75.6,73.7,1.87,,-1.30,,-1.16,-5.44,-6.60,99.89,107.61,-7.72
249,Oakland,Horizon,,,7,15,64.7,68.8,-4.05,,-1.10,,-7.89,1.22,-6.67,92.80,100.68,-7.88
250,Cal State Fullerton,Big West,,,8,14,67.0,69.0,-2.00,,-0.94,,-5.21,-1.48,-6.69,91.75,99.89,-8.13
251,Youngstown State,Horizon,,,12,11,72.5,71.7,0.74,,-3.99,,-2.88,-3.82,-6.70,96.23,104.18,-7.95
252,Fairfield,MAAC,,,8,11,61.2,63.5,-2.32,,-4.40,,-10.59,3.88,-6.71,90.57,98.99,-8.41
253,Milwaukee,Horizon,,,10,11,72.4,73.0,-0.57,,-2.94,,-1.02,-5.71,-6.73,95.08,102.88,-7.80
254,San Jose State,MWC,,,7,15,69.8,79.8,-9.95,,4.88,,0.04,-6.78,-6.74,95.46,103.18,-7.71
255,Albany (NY),AEC,,,12,10,68.4,67.8,0.64,,-6.41,,-5.33,-1.65,-6.98,93.37,102.16,-8.79
256,Long Island University,NEC,,,10,11,78.0,78.0,0.10,,-5.10,,2.51,-9.56,-7.05,97.09,105.43,-8.34
257,Mount St. Mary's,NEC,,,9,12,64.0,64.6,-0.52,,-5.76,,-10.00,2.83,-7.16,92.44,101.60,-9.15
258,Bucknell,Patriot,,,9,13,69.2,73.7,-4.45,,-2.91,,-2.61,-4.76,-7.37,95.39,104.15,-8.75
259,Manhattan,MAAC,,,8,9,63.8,64.8,-1.06,,-6.34,,-9.68,2.28,-7.40,87.94,97.34,-9.40
260,Jacksonville State,OVC,,,9,13,72.6,68.5,4.05,,-5.27,,-5.78,-1.73,-7.52,92.71,101.73,-9.02
261,Merrimack,NEC,,,14,8,63.0,60.8,2.27,,-5.43,,-11.40,3.88,-7.53,90.17,99.17,-9.01
262,Texas Southern,SWAC,,,9,11,70.8,76.0,-5.15,,-0.12,,0.07,-7.61,-7.54,93.78,101.69,-7.91
263,Gardner-Webb,Big South,,,8,12,70.3,72.5,-2.20,,-3.05,,-3.33,-4.28,-7.61,94.82,104.31,-9.49
264,Evansville,MVC,,,9,13,69.2,75.0,-5.77,,-0.76,,-2.69,-4.98,-7.66,94.70,104.84,-10.13
265,Hartford,AEC,,,12,10,66.6,67.4,-0.77,,-5.73,,-7.29,-0.39,-7.68,90.33,100.18,-9.85
266,Weber State,Big Sky,,,8,13,71.3,70.6,0.67,,0.55,,-4.61,-3.34,-7.95,95.34,106.00,-10.66
267,VMI,Southern,,,6,17,72.2,69.6,2.65,,-3.04,,-1.99,-6.00,-7.99,96.33,106.29,-9.97
268,Cal State Northridge,Big West,,,9,14,75.0,78.7,-3.70,,-0.67,,1.31,-9.32,-8.01,100.49,109.51,-9.02
269,Lamar,Southland,,,10,11,70.7,68.1,2.62,,-5.11,,-5.41,-2.65,-8.06,91.17,100.62,-9.45
270,Louisiana-Monroe,Sun Belt,,,6,14,62.6,67.7,-5.15,,0.12,,-8.66,0.50,-8.16,93.31,103.72,-10.41
271,Purdue-Fort Wayne,Summit,,,10,13,69.8,70.9,-1.09,,-2.94,,-5.39,-2.85,-8.24,94.11,104.27,-10.16
272,North Alabama,A-Sun,,,10,11,68.3,68.5,-0.24,,-4.93,,-5.65,-2.65,-8.30,91.05,101.16,-10.12
273,Utah Valley,WAC,,,9,14,68.9,69.9,-1.00,,-4.04,,-4.77,-3.58,-8.34,92.59,102.80,-10.22
274,Texas-Rio Grande Valley,WAC,,,6,14,71.6,71.2,0.40,,-1.80,,-2.20,-6.18,-8.38,94.58,104.55,-9.96
275,Idaho State,Big Sky,,,6,13,68.3,70.0,-1.74,,-1.16,,-4.77,-3.68,-8.45,95.59,107.04,-11.45
276,North Carolina-Asheville,Big South,,,9,11,76.4,74.0,2.35,,-7.47,,0.05,-8.57,-8.52,96.82,107.50,-10.68
277,Detroit Mercy,Horizon,,,6,16,69.0,76.9,-7.82,,-0.79,,-2.01,-6.60,-8.61,96.28,106.61,-10.34
278,Cal State Long Beach,Big West,,,7,15,68.0,76.6,-8.55,,3.12,,-1.64,-6.99,-8.63,94.68,104.72,-10.04
279,Troy,Sun Belt,,,8,15,69.0,72.1,-3.13,,-1.54,,-3.96,-4.72,-8.68,93.68,104.31,-10.63
280,Lipscomb,A-Sun,,,8,13,71.4,72.6,-1.24,,-3.53,,-1.72,-7.02,-8.74,96.83,107.97,-11.14
281,New Hampshire,AEC,,,10,10,69.2,65.8,3.45,,-6.08,,-6.50,-2.30,-8.80,88.81,99.95,-11.14
282,James Madison,CAA,,,8,13,73.6,77.3,-3.71,,-2.56,,3.48,-12.34,-8.86,97.73,108.51,-10.78
283,Massachusetts-Lowell,AEC,,,8,14,75.4,77.2,-1.82,,-5.01,,3.13,-12.09,-8.96,98.60,109.92,-11.32
284,Campbell,Big South,,,11,10,69.5,67.0,2.57,,-7.83,,-7.85,-1.19,-9.04,93.28,104.61,-11.32
285,Columbia,Ivy,,,6,12,66.8,69.1,-2.22,,-4.97,,-5.82,-3.26,-9.09,90.87,101.96,-11.09
286,Cornell,Ivy,,,4,11,66.8,67.7,-0.93,,-2.94,,-7.47,-1.86,-9.33,94.66,107.53,-12.87
287,Iona,MAAC,,,5,10,69.3,74.1,-4.73,,-4.66,,-1.66,-7.74,-9.40,96.39,107.62,-11.23
288,Army,Patriot,,,10,10,70.7,71.8,-1.10,,-6.42,,-4.12,-5.40,-9.52,93.21,105.15,-11.93
289,Middle Tennessee,CUSA,,,5,17,71.4,76.0,-4.59,,2.01,,-2.32,-7.30,-9.62,94.79,106.52,-11.73
290,North Carolina A&T,MEAC,,,10,12,70.6,72.7,-2.14,,-4.44,,-4.16,-5.47,-9.63,89.02,101.83,-12.81
291,Bethune-Cookman,MEAC,,,10,11,75.8,74.1,1.67,,-6.24,,0.70,-10.78,-10.07,95.42,107.82,-12.39
292,NJIT,A-Sun,,,7,14,64.6,68.5,-3.90,,-4.72,,-7.47,-2.75,-10.22,93.39,106.34,-12.95
293,North Carolina-Wilmington,CAA,,,7,16,69.7,72.5,-2.83,,-0.27,,-7.33,-2.99,-10.32,90.61,104.20,-13.59
294,Texas A&M-Corpus Christi,Southland,,,9,13,63.4,66.4,-3.05,,-5.16,,-11.98,1.56,-10.41,90.30,102.88,-12.59
295,Niagara,MAAC,,,6,13,66.6,74.8,-8.26,,-2.16,,-4.05,-6.38,-10.43,97.68,111.56,-13.88
296,Cal Poly,Big West,,,5,15,65.2,73.9,-8.65,,1.69,,-6.23,-4.30,-10.53,91.24,105.57,-14.33
297,Elon,CAA,,,6,17,68.2,72.7,-4.57,,-1.49,,-6.14,-4.50,-10.64,93.95,107.76,-13.81
298,Idaho,Big Sky,,,5,14,65.7,70.3,-4.58,,-2.23,,-9.05,-1.59,-10.64,87.87,101.80,-13.93
299,Denver,Summit,,,5,18,68.1,75.7,-7.61,,-1.93,,-3.59,-7.07,-10.65,92.50,105.71,-13.21
300,Morehead State,OVC,,,10,12,69.9,68.9,1.00,,-6.58,,-6.02,-4.66,-10.68,92.50,106.30,-13.80
301,Stetson,A-Sun,,,11,12,63.6,65.9,-2.26,,-5.11,,-11.38,0.46,-10.92,91.92,106.36,-14.43
302,Maryland-Baltimore County,AEC,,,9,13,69.0,67.5,1.45,,-4.18,,-7.73,-3.23,-10.96,92.27,106.28,-14.01
303,Cleveland State,Horizon,,,9,14,63.7,71.6,-7.83,,-1.91,,-9.47,-1.75,-11.22,88.65,102.62,-13.97
304,Florida Gulf Coast,A-Sun,,,7,16,61.9,67.5,-5.65,,-3.33,,-10.40,-0.84,-11.23,87.60,102.47,-14.86
305,Samford,Southern,,,8,15,75.2,80.0,-4.83,,-0.84,,1.15,-12.39,-11.24,97.39,110.39,-13.00
306,North Carolina Central,MEAC,,,8,12,67.4,65.2,2.20,,-5.05,,-11.02,-0.27,-11.29,88.15,102.96,-14.81
307,Alcorn State,SWAC,,,10,9,77.3,71.7,5.58,,-6.07,,-3.92,-7.41,-11.34,93.29,107.38,-14.09
308,Central Arkansas,Southland,,,6,15,75.0,85.2,-10.19,,0.36,,3.44,-14.77,-11.34,95.44,107.63,-12.20
309,Loyola (MD),Patriot,,,9,13,72.9,76.2,-3.32,,-6.61,,-1.50,-9.88,-11.37,95.58,109.82,-14.25
310,St. Francis (NY),NEC,,,10,11,70.2,71.0,-0.86,,-7.37,,-5.82,-5.65,-11.47,90.46,105.34,-14.89
311,Lehigh,Patriot,,,5,16,67.7,73.5,-5.81,,-2.35,,-5.10,-6.62,-11.72,92.37,108.13,-15.76
312,Eastern Kentucky,OVC,,,10,12,75.5,77.1,-1.59,,-3.97,,-0.96,-10.86,-11.82,92.27,106.58,-14.31
313,Florida A&M,MEAC,,,6,13,64.4,74.3,-9.89,,-2.13,,-6.27,-5.76,-12.03,89.75,104.71,-14.96
314,Citadel,Southern,,,6,14,78.5,79.7,-1.25,,-1.35,,1.81,-13.87,-12.06,92.89,107.60,-14.71
315,South Carolina Upstate,Big South,,,9,13,69.0,73.5,-4.50,,-4.50,,-6.70,-5.70,-12.40,91.98,109.14,-17.16
316,Morgan State,MEAC,,,11,12,70.6,71.7,-1.13,,-6.84,,-5.57,-6.92,-12.49,89.26,105.00,-15.74
317,Charleston Southern,Big South,,,11,10,70.0,72.6,-2.67,,-5.14,,-7.72,-4.80,-12.51,91.74,107.46,-15.72
318,Northwestern State,Southland,,,8,11,72.6,75.1,-2.42,,-5.08,,-3.41,-9.18,-12.58,90.45,105.75,-15.30
319,Southern,SWAC,,,8,13,67.8,70.3,-2.48,,-5.57,,-9.52,-3.16,-12.68,91.97,108.40,-16.42
320,Grambling,SWAC,,,9,11,72.7,70.8,1.90,,-4.75,,-7.73,-4.96,-12.69,88.43,104.81,-16.38
321,Fairleigh Dickinson,NEC,,,5,15,69.6,75.3,-5.75,,-4.20,,-4.25,-8.58,-12.83,96.07,113.19,-17.12
322,Tennessee-Martin,OVC,,,6,14,77.3,84.5,-7.20,,-0.50,,2.68,-15.51,-12.83,104.02,120.42,-16.40
323,Coppin State,MEAC,,,6,16,67.6,75.9,-8.27,,-4.76,,-4.21,-8.83,-13.03,86.27,102.80,-16.53
324,Hampton,Big South,,,9,11,78.2,80.1,-1.85,,-3.24,,3.12,-16.48,-13.36,100.51,117.40,-16.89
325,New Orleans,Southland,,,6,15,75.9,76.9,-1.05,,-1.39,,-3.47,-9.91,-13.39,94.30,110.78,-16.48
326,Jackson State,SWAC,,,6,14,65.7,72.1,-6.40,,-2.77,,-8.64,-4.85,-13.49,88.48,105.36,-16.87
327,Maine,AEC,,,6,15,61.3,69.5,-8.24,,-2.90,,-10.18,-3.37,-13.55,89.35,109.02,-19.67
328,Longwood,Big South,,,7,15,67.5,70.0,-2.45,,-8.53,,-7.11,-6.47,-13.58,87.61,105.41,-17.80
329,Western Illinois,Summit,,,5,14,75.3,80.7,-5.47,,-2.90,,0.32,-13.93,-13.61,95.76,113.07,-17.31
330,Wagner,NEC,,,5,15,69.3,77.1,-7.85,,-3.96,,-3.83,-9.97,-13.80,95.20,112.54,-17.34
331,South Carolina State,MEAC,,,9,10,70.8,75.7,-4.95,,-6.29,,-4.58,-9.53,-14.12,94.17,113.14,-18.97
332,IUPUI,Horizon,,,6,17,69.1,77.6,-8.43,,-3.22,,-2.32,-11.90,-14.22,94.01,112.88,-18.87
333,Southeast Missouri State,OVC,,,4,18,65.6,75.7,-10.05,,-2.50,,-7.16,-7.20,-14.35,91.92,111.49,-19.57
334,Presbyterian,Big South,,,8,14,66.3,72.2,-5.86,,-5.60,,-8.25,-6.46,-14.70,91.52,111.85,-20.33
335,Marist,MAAC,,,4,14,59.5,67.3,-7.83,,-7.09,,-13.48,-1.44,-14.92,84.58,105.21,-20.63
336,Southeastern Louisiana,Southland,,,6,15,67.0,76.6,-9.57,,-3.00,,-5.91,-9.31,-15.22,88.06,107.05,-19.00
337,Tennessee Tech,OVC,,,5,17,65.0,73.8,-8.82,,-2.94,,-10.06,-5.19,-15.24,87.67,108.27,-20.60
338,Binghamton,AEC,,,8,13,69.8,76.4,-6.57,,-4.30,,-4.42,-11.04,-15.46,94.70,115.43,-20.73
339,SIU Edwardsville,OVC,,,5,17,67.2,73.8,-6.55,,-5.57,,-7.96,-7.67,-15.62,88.53,109.38,-20.84
340,Holy Cross,Patriot,,,3,19,67.8,80.5,-12.68,,-3.65,,-3.42,-13.37,-16.79,95.04,117.19,-22.15
341,Alabama A&M,SWAC,,,5,13,63.6,74.3,-10.72,,-6.43,,-9.37,-7.79,-17.15,86.18,107.81,-21.63
342,Alabama State,SWAC,,,3,17,60.4,75.1,-14.70,,-2.61,,-11.08,-6.24,-17.31,86.27,109.29,-23.02
343,High Point,Big South,,,6,16,64.8,75.6,-10.86,,-3.47,,-10.11,-7.47,-17.57,91.16,115.03,-23.87
344,Houston Baptist,Southland,,,1,17,81.9,100.3,-18.33,,-0.58,,9.47,-28.39,-18.92,101.25,122.68,-21.44
345,Arkansas-Pine Bluff,SWAC,,,3,16,53.2,71.2,-17.95,,-1.45,,-18.05,-2.78,-20.83,77.11,105.73,-28.62
346,Incarnate Word,Southland,,,5,15,65.5,73.8,-8.30,,-6.03,,-12.84,-8.01,-20.86,85.55,113.13,-27.57
347,Howard,MEAC,,,2,20,69.7,82.3,-12.64,,-4.62,,-4.64,-16.62,-21.27,90.08,117.93,-27.85
348,Kennesaw State,A-Sun,,,1,20,56.3,76.6,-20.24,,-2.02,,-14.52,-7.74,-22.26,79.96,110.69,-30.73
349,Maryland-Eastern Shore,MEAC,,,2,19,54.4,72.4,-18.00,,-1.42,,-15.88,-6.74,-22.62,78.01,108.80,-30.78
350,Delaware State,MEAC,,,2,17,70.2,83.8,-13.63,,-5.47,,-4.22,-18.55,-22.76,86.64,115.30,-28.66
351,Central Connecticut State,NEC,,,2,21,61.9,78.7,-16.83,,-3.71,,-11.19,-11.65,-22.85,83.73,114.20,-30.48
352,Chicago State,WAC,,,4,18,63.9,84.0,-20.09,,-2.48,,-11.26,-18.07,-29.33,82.84,122.08,-39.25
353,Mississippi Valley State,SWAC,,,1,18,66.4,92.6,-26.21,,-3.87,,-6.28,-23.80,-30.08,82.10,116.91,-34.81
