School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
Oklahoma State,20,10,10,.500,10.37,8.82,0,7,5,6,3,3,1332,1301,800,469,1157,.405,128,424,.302,266,370,.719,210,730,236,147,76,260,342
Oklahoma,20,13,7,.650,11.35,8.20,3,4,8,1,2,5,1418,1355,800,497,1185,.419,144,452,.319,280,368,.761,161,738,238,128,79,212,264
Old Dominion,22,9,13,.409,0.15,0.24,5,4,7,3,2,7,1398,1400,880,523,1302,.402,114,412,.277,238,341,.698,258,856,217,160,70,271,378
Oral Roberts,21,11,10,.524,1.67,0.37,4,4,8,1,3,9,1651,1510,840,592,1348,.439,170,529,.321,297,399,.744,272,819,264,131,48,232,343
Oregon State,21,13,8,.619,8.98,3.08,3,6,8,3,3,4,1557,1433,840,543,1156,.470,123,378,.325,348,472,.737,187,702,311,135,117,239,344
Oregon,22,18,4,.818,18.14,8.19,7,2,12,0,4,2,1707,1488,910,622,1304,.477,184,470,.391,279,404,.691,240,795,321,173,72,271,391
Pacific,24,16,8,.667,2.56,-0.63,4,4,11,3,4,4,1685,1555,995,616,1362,.452,138,397,.348,315,478,.659,268,874,297,139,92,302,458
Penn State,20,15,5,.750,16.66,6.51,5,4,11,1,2,3,1539,1336,800,554,1249,.444,156,492,.317,275,399,.689,226,781,286,174,113,236,358
Pennsylvania,15,8,7,.533,0.80,1.52,0,2,3,2,3,4,1142,1104,600,426,934,.456,139,422,.329,151,226,.668,133,557,232,87,51,201,230
Pepperdine,22,11,11,.500,1.52,2.52,4,4,7,3,4,5,1698,1720,885,576,1324,.435,183,507,.361,363,449,.808,215,744,334,139,74,282,406
Pittsburgh,21,13,8,.619,8.97,5.45,4,6,9,4,2,4,1395,1321,845,488,1171,.417,113,374,.302,306,424,.722,246,735,261,158,76,257,327
Portland State,23,11,12,.478,-2.73,-1.97,5,6,7,2,3,10,1786,1724,920,664,1498,.443,147,437,.336,311,444,.700,347,881,308,187,100,299,428
Portland,23,9,14,.391,-5.30,0.55,1,7,7,5,2,5,1563,1614,920,557,1256,.443,159,443,.359,290,434,.668,166,750,322,128,88,317,370
Prairie View,20,10,10,.500,-4.21,-2.93,6,1,6,0,3,9,1442,1412,805,517,1169,.442,95,287,.331,313,452,.692,197,644,274,182,45,306,429
Presbyterian,22,8,14,.364,-14.70,-5.60,5,4,5,4,3,8,1459,1588,885,527,1180,.447,134,423,.317,271,385,.704,198,747,273,136,47,330,395
Princeton,15,7,8,.467,-3.41,-0.83,2,0,3,4,2,3,1093,1083,605,395,853,.463,120,358,.335,183,259,.707,146,504,201,93,33,204,252
Providence,21,11,10,.524,9.86,5.77,4,4,8,3,2,4,1487,1401,845,519,1295,.401,148,473,.313,301,443,.679,294,814,312,187,75,278,396
Purdue,21,11,10,.524,15.58,8.58,4,6,9,2,1,6,1417,1270,865,527,1269,.415,151,456,.331,212,319,.665,278,787,284,139,78,245,363
Quinnipiac,18,10,8,.556,-6.19,-6.75,5,3,7,2,2,5,1268,1258,720,419,1015,.413,183,515,.355,247,316,.782,173,667,248,84,67,234,260
Radford,21,12,9,.571,-1.96,-2.64,7,2,6,2,5,6,1466,1357,840,533,1193,.447,158,463,.341,242,375,.645,223,756,266,118,49,224,370
Rhode Island,20,15,5,.750,10.53,4.63,7,1,9,1,5,3,1484,1366,805,537,1250,.430,112,352,.318,298,436,.683,240,789,257,177,80,243,336
Rice,22,9,13,.409,-6.17,-0.17,1,8,5,5,2,7,1603,1665,880,544,1288,.422,217,641,.339,298,424,.703,202,795,301,132,54,306,349
Richmond,21,15,6,.714,9.15,3.15,5,3,9,2,5,2,1592,1466,850,577,1232,.468,175,470,.372,263,327,.804,147,699,320,168,56,238,336
Rider,19,11,8,.579,-4.09,-5.20,5,4,5,1,4,7,1385,1364,760,477,1112,.429,122,369,.331,309,461,.670,228,740,253,126,49,267,319
Robert Morris,22,11,11,.500,-5.30,-4.96,7,2,6,2,4,9,1524,1491,880,569,1310,.434,187,517,.362,199,302,.659,237,761,362,139,37,294,379
Rutgers,21,16,5,.762,16.21,7.11,7,3,15,0,1,4,1503,1276,840,565,1230,.459,116,376,.309,257,398,.646,246,848,290,146,99,275,336
Sacramento State,18,11,7,.611,-2.33,-1.77,4,5,8,0,2,7,1095,1019,720,389,968,.402,80,258,.310,237,326,.727,206,653,213,119,74,236,306
Sacred Heart,22,13,9,.591,-5.38,-8.10,6,3,5,2,7,6,1635,1534,880,579,1317,.440,161,508,.317,316,432,.731,281,894,300,123,82,312,351
Saint Francis (PA),21,13,8,.619,-4.85,-6.60,6,4,7,2,5,6,1635,1551,845,582,1265,.460,137,373,.367,334,451,.741,239,765,240,144,54,270,358
Saint Joseph's,21,4,17,.190,-5.71,5.63,0,8,2,7,2,7,1474,1712,845,506,1309,.387,196,645,.304,266,388,.686,242,789,272,98,63,288,367
Saint Louis,21,16,5,.762,8.25,2.35,5,3,11,2,3,2,1496,1365,855,547,1257,.435,120,366,.328,282,490,.576,281,857,296,162,93,268,391
Saint Mary's (CA),23,19,4,.826,13.37,2.96,6,2,11,2,4,1,1774,1494,950,628,1296,.485,207,488,.424,311,415,.749,187,763,302,161,53,233,365
Saint Peter's,18,8,10,.444,-5.74,-5.52,5,4,5,3,3,7,1161,1165,725,395,1000,.395,122,340,.359,249,357,.697,241,693,189,137,75,313,385
Sam Houston State,21,15,6,.714,-1.24,-5.54,8,2,10,1,5,5,1699,1490,860,612,1337,.458,173,482,.359,302,396,.763,205,732,355,202,65,289,435
Samford,23,8,15,.348,-11.24,-0.84,2,7,6,5,2,10,1730,1841,930,621,1383,.449,154,444,.347,334,464,.720,246,848,275,158,72,365,385
San Diego State,22,22,0,1.000,19.02,2.45,11,0,11,0,8,0,1650,1258,880,597,1269,.470,184,487,.378,272,361,.753,215,797,341,149,70,243,375
San Diego,23,8,15,.348,-3.67,3.05,1,7,5,6,3,6,1508,1630,925,546,1329,.411,152,482,.315,264,400,.660,216,788,291,129,77,350,408
San Francisco,23,16,7,.696,8.01,2.05,5,3,10,3,5,4,1775,1593,930,627,1381,.454,222,624,.356,299,414,.722,249,834,278,161,76,300,402
San Jose State,22,7,15,.318,-6.74,4.88,3,7,6,6,1,8,1536,1755,880,522,1313,.398,173,575,.301,319,457,.698,226,788,296,133,78,311,401
Santa Clara,23,17,6,.739,2.87,-0.32,4,4,15,2,2,4,1773,1614,925,632,1351,.468,177,503,.352,332,439,.756,184,805,366,157,89,324,472
Seattle,22,11,11,.500,-4.07,-4.02,4,3,7,3,2,7,1638,1571,895,554,1364,.406,156,512,.305,374,486,.770,236,792,244,128,74,242,433
Seton Hall,20,16,4,.800,18.38,8.23,8,0,9,1,5,2,1498,1295,800,523,1162,.450,151,456,.331,301,434,.694,206,760,292,153,130,279,375
Siena,18,9,9,.500,-3.50,-4.44,5,4,9,0,0,9,1308,1291,735,463,1042,.444,119,347,.343,263,378,.696,197,670,227,107,49,249,317
South Alabama,23,12,11,.522,-0.81,0.04,5,7,7,5,3,5,1644,1575,925,570,1228,.464,123,379,.325,381,518,.736,197,750,249,174,86,276,381
South Carolina State,19,9,10,.474,-14.12,-6.29,4,3,6,2,3,8,1345,1439,770,464,1062,.437,105,329,.319,312,402,.776,190,660,217,85,31,273,328
South Carolina Upstate,22,9,13,.409,-12.40,-4.50,4,5,6,3,3,10,1518,1617,880,541,1258,.430,150,460,.326,286,419,.683,205,713,259,134,52,279,420
South Carolina,20,12,8,.600,8.56,4.61,4,3,7,4,5,2,1424,1345,800,530,1207,.439,115,370,.311,249,412,.604,241,750,284,150,82,272,460
South Dakota State,24,16,8,.667,2.96,-3.18,7,2,12,0,4,8,1854,1678,970,684,1406,.486,177,511,.346,309,442,.699,239,926,333,123,72,311,394
South Dakota,23,15,8,.652,-1.25,-3.54,6,3,10,1,3,6,1811,1712,920,629,1289,.488,174,422,.412,379,502,.755,152,751,315,98,67,241,391
South Florida,21,9,12,.429,3.82,3.34,2,6,7,4,1,4,1307,1297,845,460,1117,.412,135,431,.313,252,409,.616,232,702,214,170,46,315,366
Southeast Missouri State,22,4,18,.182,-14.35,-2.50,0,9,3,5,0,12,1444,1665,885,510,1229,.415,128,403,.318,296,438,.676,203,715,225,120,48,290,419
Southeastern Louisiana,21,6,15,.286,-15.22,-3.00,3,7,4,4,2,10,1408,1609,850,520,1265,.411,131,446,.294,237,368,.644,221,690,250,170,35,353,440
Southern California,21,17,4,.810,11.07,4.74,6,2,9,1,5,2,1533,1400,855,537,1215,.442,135,385,.351,324,478,.678,237,831,314,140,118,313,342
SIU Edwardsville,22,5,17,.227,-15.62,-5.57,2,7,3,6,2,11,1479,1623,880,557,1267,.440,125,390,.321,240,355,.676,188,712,311,124,67,303,442
Southern Illinois,22,12,10,.545,0.88,-0.21,6,3,10,1,1,7,1378,1327,880,480,1111,.432,157,471,.333,261,361,.723,145,667,273,144,43,276,321
Southern Methodist,20,15,5,.750,8.58,0.88,5,3,11,1,4,4,1497,1343,815,529,1158,.457,164,485,.338,275,360,.764,239,772,327,120,68,264,303
Southern Mississippi,22,6,16,.273,-6.44,4.40,2,7,5,5,1,8,1472,1621,880,564,1273,.443,110,365,.301,234,313,.748,217,749,307,143,54,312,375
Southern Utah,20,12,8,.600,2.01,-2.22,5,4,6,3,5,5,1480,1274,815,540,1176,.459,129,386,.334,271,389,.697,197,772,245,154,94,289,381
Southern,21,8,13,.381,-12.68,-5.57,5,3,5,1,2,12,1424,1476,845,532,1225,.434,123,377,.326,237,354,.669,237,725,272,131,55,301,450
St. Bonaventure,21,13,8,.619,2.46,0.76,5,3,5,3,5,5,1421,1362,845,521,1221,.427,138,413,.334,241,321,.751,232,768,274,125,75,256,368
St. Francis (NY),21,10,11,.476,-11.47,-7.37,4,5,8,1,2,10,1474,1492,840,540,1273,.424,137,445,.308,255,351,.726,216,761,257,133,84,277,382
St. John's (NY),22,13,9,.591,9.99,4.72,2,7,10,4,1,4,1645,1529,880,596,1452,.410,136,450,.302,317,452,.701,281,873,319,231,98,269,426
Stanford,20,15,5,.750,13.99,2.59,4,3,11,2,2,2,1422,1194,805,521,1077,.484,147,381,.386,233,347,.671,144,685,273,148,83,295,316
Stephen F. Austin,21,18,3,.857,4.07,-5.66,9,1,10,1,8,2,1699,1408,845,613,1245,.492,124,341,.364,349,512,.682,272,770,316,231,61,374,455
Stetson,23,11,12,.478,-10.92,-5.11,5,3,5,5,5,6,1463,1515,925,521,1185,.440,133,403,.330,288,447,.644,230,813,229,141,61,328,362
Stony Brook,22,14,8,.636,0.56,-3.16,5,2,6,2,6,6,1578,1453,890,541,1281,.422,200,561,.357,296,416,.712,245,872,263,146,111,330,367
Syracuse,21,13,8,.619,12.28,5.28,6,4,9,4,4,2,1538,1391,845,531,1197,.444,191,540,.354,285,390,.731,206,754,318,154,89,240,322
Temple,20,10,10,.500,7.31,5.11,2,6,5,4,3,4,1354,1310,800,483,1201,.402,136,420,.324,252,370,.681,207,776,273,163,55,266,353
Tennessee-Martin,20,6,14,.300,-12.83,-0.50,2,7,3,4,2,8,1545,1689,800,546,1203,.454,156,454,.344,297,399,.744,221,652,231,106,57,256,318
Tennessee State,22,13,9,.591,-5.67,-5.37,5,4,8,1,3,8,1650,1607,880,603,1259,.479,164,463,.354,280,432,.648,251,846,308,118,91,366,464
Tennessee Tech,22,5,17,.227,-15.24,-2.94,2,7,3,7,2,8,1430,1624,885,538,1288,.418,175,520,.337,179,268,.668,227,768,297,140,70,355,329
Tennessee,20,12,8,.600,11.89,5.69,4,3,8,4,2,3,1323,1199,800,463,1073,.432,122,398,.307,275,366,.751,191,717,301,115,122,279,344
Texas A&M-Corpus Christi,22,9,13,.409,-10.41,-5.16,5,6,6,4,3,9,1394,1461,880,482,1138,.424,168,462,.364,260,370,.703,206,768,267,117,63,371,398
Texas A&M,19,10,9,.526,2.10,4.05,4,3,7,4,3,1,1163,1200,765,393,994,.395,104,398,.261,273,403,.677,203,664,205,122,60,262,287
Texas-Arlington,22,9,13,.409,3.64,3.34,5,6,4,5,5,7,1557,1500,880,550,1323,.416,174,562,.310,283,368,.769,226,817,326,122,63,254,394
Texas Christian,20,13,7,.650,11.59,6.43,4,3,11,3,1,3,1380,1261,810,506,1165,.434,182,515,.353,186,297,.626,234,721,314,154,94,277,324
Texas-El Paso,22,13,9,.591,0.41,-0.12,4,5,11,1,1,7,1504,1437,885,516,1195,.432,133,471,.282,339,442,.767,177,765,266,129,69,312,389
Texas-Rio Grande Valley,20,6,14,.300,-8.38,-1.80,2,5,6,3,0,9,1431,1423,810,528,1231,.429,128,380,.337,247,353,.700,223,657,293,174,83,248,408
Texas-San Antonio,22,10,12,.455,-2.79,0.69,4,5,8,2,2,6,1725,1691,890,614,1418,.433,218,604,.361,279,373,.748,236,851,299,133,65,289,445
Texas Southern,20,9,11,.450,-7.54,-0.12,6,1,6,1,3,10,1416,1519,810,492,1226,.401,102,368,.277,330,466,.708,249,777,242,116,56,323,387
Texas State,22,13,9,.591,3.38,-0.57,6,5,9,3,4,6,1586,1397,880,549,1222,.449,121,359,.337,367,484,.758,213,738,289,142,60,252,403
Texas Tech,20,13,7,.650,15.78,5.68,4,3,10,2,1,3,1471,1269,815,507,1138,.446,138,413,.334,319,417,.765,197,702,325,153,75,285,357
Texas,20,13,7,.650,9.53,6.98,3,4,8,3,3,3,1319,1268,800,497,1137,.437,174,508,.343,151,234,.645,189,655,276,110,91,274,359
Toledo,21,11,10,.524,2.67,-0.88,3,5,6,4,5,6,1618,1488,845,548,1243,.441,198,530,.374,324,440,.736,231,817,323,134,78,264,342
Towson,22,13,9,.591,0.32,-1.30,7,3,7,3,4,3,1552,1449,890,541,1252,.432,143,429,.333,327,433,.755,236,816,250,134,69,274,405
Troy,23,8,15,.348,-8.68,-1.54,4,8,6,5,2,10,1587,1659,930,565,1408,.401,189,589,.321,268,395,.678,282,856,329,134,64,335,436
Tulane,20,10,10,.500,0.79,0.79,2,6,6,3,2,3,1374,1374,805,473,1131,.418,159,450,.353,269,384,.701,167,621,229,166,47,237,292
Tulsa,20,14,6,.700,8.60,1.60,6,1,10,1,4,4,1425,1285,820,509,1123,.453,116,365,.318,291,409,.711,186,734,271,156,50,266,311
UCLA,21,11,10,.524,6.05,6.05,4,4,8,4,2,3,1461,1435,845,515,1186,.434,116,377,.308,315,447,.705,267,785,274,147,74,283,413
Utah State,23,17,6,.739,13.70,3.70,6,4,11,1,2,4,1788,1465,935,616,1362,.452,167,516,.324,389,508,.766,261,944,378,148,68,283,371
Utah Valley,23,9,14,.391,-8.34,-4.04,3,5,4,5,5,9,1585,1608,925,565,1320,.428,151,509,.297,304,431,.705,205,829,290,131,128,326,401
Utah,20,12,8,.600,9.23,6.18,3,5,8,1,1,5,1484,1423,805,507,1115,.455,145,439,.330,325,437,.744,198,745,284,100,52,266,306
Valparaiso,22,11,11,.500,-0.04,0.72,4,5,7,1,3,7,1612,1601,890,587,1352,.434,180,560,.321,258,362,.713,228,748,336,184,78,292,395
Vanderbilt,20,8,12,.400,1.88,3.28,0,7,8,6,0,5,1447,1475,810,484,1127,.429,167,508,.329,312,461,.677,190,659,243,145,81,264,374
Vermont,22,16,6,.727,6.23,-3.05,6,1,7,2,8,3,1531,1287,880,547,1250,.438,169,534,.316,268,372,.720,215,816,288,135,75,268,367
Villanova,20,17,3,.850,16.71,7.96,7,1,10,0,4,2,1491,1316,805,524,1178,.445,192,544,.353,251,321,.782,191,730,303,123,60,225,302
Virginia Commonwealth,21,16,5,.762,12.69,2.35,6,2,12,1,4,2,1527,1310,840,534,1229,.434,166,469,.354,293,412,.711,215,735,287,201,100,268,365
VMI,23,6,17,.261,-7.99,-3.04,1,9,5,6,0,10,1661,1600,940,592,1387,.427,245,691,.355,232,322,.720,243,815,376,163,55,289,382
Virginia Tech,21,14,7,.667,10.60,3.08,5,5,10,2,3,3,1488,1330,850,528,1219,.433,216,580,.372,216,312,.692,170,742,326,129,59,206,292
Virginia,20,14,6,.700,10.93,5.38,6,4,9,3,3,3,1125,1014,810,414,1028,.403,104,382,.272,193,272,.710,187,710,224,114,85,255,268
Wagner,20,5,15,.250,-13.80,-3.96,2,7,3,5,2,10,1385,1542,810,483,1196,.404,148,453,.327,271,382,.709,229,709,260,111,46,276,443
Wake Forest,20,9,11,.450,5.50,6.60,2,8,5,4,1,6,1448,1470,810,483,1134,.426,126,364,.346,356,476,.748,210,768,246,97,55,294,380
Washington State,22,13,9,.591,4.65,1.38,4,5,10,2,1,5,1563,1491,885,555,1363,.407,172,535,.321,281,388,.724,239,787,263,153,54,257,372
Washington,22,12,10,.545,13.21,7.03,2,7,9,4,1,4,1542,1406,890,537,1190,.451,150,439,.342,318,451,.705,191,781,284,156,141,330,363
Weber State,21,8,13,.381,-7.95,0.55,4,6,5,4,3,5,1497,1483,850,550,1202,.458,151,447,.338,246,358,.687,153,674,254,116,81,252,303
West Virginia,20,16,4,.800,21.19,9.09,4,3,10,0,3,4,1473,1231,800,517,1185,.436,107,356,.301,332,511,.650,297,831,254,163,77,292,386
Western Carolina,20,13,7,.650,-0.44,-1.72,5,4,8,2,5,5,1599,1491,810,550,1169,.470,206,544,.379,293,421,.696,204,760,291,107,33,292,343
Western Illinois,19,5,14,.263,-13.61,-2.90,2,7,4,7,1,7,1430,1534,765,530,1232,.430,161,427,.377,209,267,.783,156,659,204,94,42,203,329
Western Kentucky,21,14,7,.667,4.46,0.76,7,2,9,1,3,4,1609,1492,850,555,1190,.466,148,432,.343,351,447,.785,174,708,238,136,91,271,286
Western Michigan,20,9,11,.450,-6.03,-0.36,2,5,7,2,2,7,1428,1461,815,484,1148,.422,143,449,.318,317,443,.716,180,693,233,109,45,237,356
Wichita State,20,17,3,.850,14.60,3.75,5,2,13,1,3,1,1491,1274,810,504,1238,.407,154,461,.334,329,476,.691,253,800,291,151,72,254,382
William & Mary,23,16,7,.696,-1.07,-2.98,8,2,8,1,8,5,1668,1566,920,604,1290,.468,176,503,.350,284,379,.749,188,831,317,106,87,295,359
Winthrop,22,15,7,.682,2.85,-4.30,9,0,8,2,7,5,1778,1547,895,639,1397,.457,204,606,.337,296,469,.631,300,900,352,157,53,310,437
Wisconsin,21,12,9,.571,14.28,9.42,5,5,9,1,3,5,1392,1290,845,494,1152,.429,168,500,.336,236,312,.756,172,705,251,100,79,221,332
Wofford,22,14,8,.636,0.36,-2.09,6,3,9,1,5,7,1599,1481,890,574,1251,.459,217,607,.357,234,317,.738,168,678,293,126,61,254,365
Wright State,22,18,4,.818,4.03,-6.17,8,1,10,2,6,1,1793,1533,890,646,1416,.456,172,476,.361,329,499,.659,293,913,318,148,86,264,335
Wyoming,22,5,17,.227,-4.84,4.25,0,10,4,10,1,5,1304,1481,895,447,1112,.402,161,519,.310,249,349,.713,112,646,224,107,45,289,403
Xavier,21,13,8,.619,11.24,7.38,2,6,10,3,1,4,1507,1426,865,552,1285,.430,138,453,.305,265,401,.661,256,824,308,128,81,285,377
Yale,18,14,4,.778,7.68,-0.26,2,0,5,0,7,4,1362,1128,750,475,1026,.463,160,437,.366,252,355,.710,151,709,291,110,70,246,267
Youngstown State,23,12,11,.522,-6.70,-3.99,5,5,9,3,3,8,1667,1650,935,602,1447,.416,155,528,.294,308,460,.670,321,919,285,144,61,277,401
